participant_id,first_name,last_name,gender,region,district,school,language,family_type,round_1_score,passed_round_1
P00052,Нурлан,Сатпаев,M,г. Шымкент,Заречный район,Школа №4,kk,full,49.2,False
P00053,Аян,Касенов,M,Актюбинская область,Южный район,Школа №5,kk,full,44.8,False
P00054,Елена,Кузнецова,F,Жамбылская область, Северный район ,Школа №2,ru,single,58.2,False
P00055,Ольга,Лебедева,F,г. Астана,Северный район,Школа №4,ru,full,70.5,True
P00056,Александр,Петров,M,Павлодарская область,Северный район,Школа №5,ru,full,69.0,True
P00057,Анна,Новикова,F,Атырауская область,Сельский район,Школа №5,ru,single,36.4,False
P00058,Ольга,Волкова,F,Улытауская область,Восточный район,Школа №5,ru,full,50.4,False
P00059,Максим,Соколов,M,Жетысуская область,Сельский район,Школа №5,ru,full,60.0,False
P00060,Данияр,Бекенов,M,Западно-Казахстанская область,Южный район,Школа №5,kk,full,69.6,True
P00061,Арман,Маратов,M,Жамбылская область,Центральный район,Школа №3,kk,full,47.8,False
P00062,Нурлан,Нурланов,M,г. Астана, Заречный район ,Школа №5,kk,full,52.2,False
P00063,Жаныбек,Нурланов,M,г. Алматы,Заречный район,Школа №5,kk,single,32.4,False
P00064,Наргиз,Темирбеков,F,Мангистауская область,Южный район,Школа №4,kk,single,31.1,False
P00065,София,Морозова,F,Абайская область,Восточный район,Школа №1,ru,full,67.2,True
P00066,Артём,Иванов,M,Западно-Казахстанская область,Восточный район,Школа №4,ru,full,75.3,True
P00067,Малика,Жумабеков,F,Актюбинская область, Восточный район ,Школа №5,kk,full,53.9,False
P00068,Алина,Касенов,F,Акмолинская область,Сельский район,Школа №2,kk,full,70.1,True
P00069,Арман,Абилов,M,Алматинская область,Западный район,Школа №4,kk,full,60.4,False
P00070,Эльмира,Маратов,F,Алматинская область,Сельский район,Школа №3,kk,full,45.3,False
P00071,Жаныбек,Нурланов,M,Жамбылская область,Центральный район,Школа №2,kk,full,60.4,False
P00072,София,Петрова,F,г. Астана,Сельский район,Школа №5,ru,full,78.1,True
P00073,Ерасыл,Темирбеков,M,Павлодарская область,Сельский район,Школа №4,kk,single,48.5,False
P00074,Дарья,Лебедева,F,Восточно-Казахстанская область,Заречный район,Школа №3,ru,full,78.5,True
P00075,Ольга,Лебедева,F,г. Астана,Южный район,Школа №2,ru,single,9.7,False
P00076,Владислав,Новиков,M,г. Астана,Западный район,Школа №3,ru,full,67.3,True
P00077,Балжан,Кадыров,F,Западно-Казахстанская область,Южный район,Школа №5,kk,single,50.3,False
P00078,Бауыржан,Сериков,M,Жетысуская область,Заречный район,Школа №5,kk,single,44.5,False
P00079,Наргиз,Абилов,F,Абайская область,Центральный район,Школа №4,kk,full,56.4,False
P00080,Рамазан,Тулегенов,M,Улытауская область,Южный район,Школа №5,kk,full,25.2,False
P00081,Дана,Бекенов,F,Алматинская область,Заречный район,Школа №1,kk,single,45.7,False
P00082,Екатерина,Кузнецова,F,Туркестанская область,Южный район,Школа №5,ru,full,60.4,False
P00083,Елена,Кузнецова,F,Кызылординская область,Северный район,Школа №5,ru,full,77.2,True
P00084,Данияр,Маратов,M,Атырауская область,Заречный район,Школа №4,kk,full,47.2,False
P00085,Рамазан,Абилов,M,Костанайская область,Северный район,Школа №3,kk,single,36.9,False
P00086,Кирилл,Новиков,M,Актюбинская область,Западный район,Школа №1,ru,full,47.5,False
P00087,Анна,Кузнецова,F,Алматинская область,Западный район,Школа №5,ru,full,68.7,True
P00088,Мария,Новикова,F,Северо-Казахстанская область,Южный район,Школа №4,ru,full,59.9,False
P00089,Алтынай,Бекенов,F,Жамбылская область,Южный район,Школа №2,kk,full,47.1,False
P00090,Малика,Абилов,F,г. Шымкент,Восточный район,Школа №2,kk,full,62.7,False
P00091,Андрей,Кузнецов,M,Западно-Казахстанская область,Сельский район,Школа №5,ru,full,56.5,False
P00092,Сауле,Бекенов,F,Атырауская область,Южный район,Школа №1,kk,full,69.5,True
P00093,Томирис,Жумабеков,F,Северо-Казахстанская область,Центральный район,Школа №3,kk,full,44.5,False
P00094,Наргиз,Абилов,F,Актюбинская область,Западный район,Школа №4,kk,single,44.1,False
P00095,Гульнара,Касенов,F,г. Астана,Западный район,Школа №3,kk,full,49.1,False
P00096,Сабина,Касенов,F,Северо-Казахстанская область,Южный район,Школа №5,kk,full,33.0,False
P00097,Ольга,Попова,F,Павлодарская область,Южный район,Школа №1,ru,single,53.4,False
P00098,Дмитрий,Лебедев,M,г. Алматы,Центральный район,Школа №3,ru,full,58.9,False
P00099,Михаил,Иванов,M,г. Алматы,Восточный район,Школа №2,ru,full,55.1,False
P00100,Меруерт,Темирбеков,F,Жамбылская область,Южный район,Школа №3,kk,full,51.5,False
P00101,Эльмира,Бекенов,F,Восточно-Казахстанская область,Южный район,Школа №5,kk,full,33.8,False
P00102,Андрей,Новиков,M,Алматинская область,Заречный район,Школа №4,ru,single,42.7,False
P00103,Кирилл,Новиков,M,Туркестанская область,Северный район,Школа №2,ru,full,49.9,False
P00104,Аружан,Сериков,F,Западно-Казахстанская область,Сельский район,Школа №4,kk,full,43.0,False
P00105,Айгерим,Жумабеков,F,Карагандинская область,Сельский район,Школа №4,kk,single,46.6,False
P00106,Ерасыл,Тулегенов,M,г. Алматы,Восточный район,Школа №3,kk,single,55.1,False
P00107,Камила,Бекенов,F,Павлодарская область,Центральный район,Школа №4,kk,single,77.3,True
P00108,Аружан,Абилов,F,Акмолинская область,Северный район,Школа №5,kk,full,57.6,False
P00109,Андрей,Морозов,M,Северо-Казахстанская область,Центральный район,Школа №4,ru,single,52.9,False
P00110,Дана,Кадыров,F,г. Шымкент,Заречный район,Школа №1,kk,single,47.9,False
P00111,Мария,Попова,F,Туркестанская область,Сельский район,Школа №5,ru,full,26.2,False
P00112,Екатерина,Петрова,F,Павлодарская область,Центральный район,Школа №1,ru,full,54.6,False
P00113,Анастасия,Попова,F,Акмолинская область,Южный район,Школа №4,ru,full,55.9,False
P00114,Аяна,Алиев,F,Восточно-Казахстанская область,Центральный район,Школа №4,kk,full,91.9,True
P00115,Артём,Кузнецов,M,Северо-Казахстанская область,Заречный район,Школа №3,ru,full,52.1,False
P00116,Дария,Касенов,F,г. Алматы,Северный район,Школа №3,kk,single,53.5,False
P00117,Дмитрий,Новиков,M,Карагандинская область,Северный район,Школа №4,ru,full,54.5,False
P00118,Данияр,Маратов,M,Карагандинская область,Центральный район,Школа №4,kk,full,37.5,False
P00119,Анастасия,Волкова,F,Туркестанская область,Сельский район,Школа №3,ru,single,66.1,True
P00120,Владислав,Кузнецов,M,г. Шымкент,Южный район,Школа №2,ru,full,66.3,True
P00121,Дария,Абилов,F,Акмолинская область,Западный район,Школа №2,kk,full,66.9,True
P00122,Артём,Кузнецов,M,Атырауская область,Сельский район,Школа №3,ru,full,41.4,False
P00123,Елена,Новикова,F,Карагандинская область,Заречный район,Школа №1,ru,full,76.0,True
P00124,Владислав,Лебедев,M,г. Алматы,Южный район,Школа №4,ru,full,34.0,False
P00125,Дана,Сатпаев,F,Мангистауская область,Сельский район,Школа №3,kk,full,63.8,False
P00126,Темирлан,Кадыров,M,г. Шымкент,Северный район,Школа №4,kk,single,81.9,True
P00127,Арман,Темирбеков,M,Акмолинская область,Южный район,Школа №1,kk,full,40.1,False
P00128,Меруерт,Кадыров,F,г. Алматы,Восточный район,Школа №2,kk,single,40.5,False
P00129,София,Лебедева,F,Западно-Казахстанская область,Центральный район,Школа №2,ru,full,56.5,False
P00130,Анна,Попова,F,г. Алматы,Заречный район,Школа №4,ru,full,47.4,False
P00131,Ольга,Петрова,F,Жамбылская область,Заречный район,Школа №1,ru,full,31.7,False
P00132,Никита,Кузнецов,M,Актюбинская область,Сельский район,Школа №2,ru,full,56.0,False
P00133,Аружан,Сатпаев,F,Абайская область,Южный район,Школа №2,kk,single,33.1,False
P00134,Анна,Иванова,F,Атырауская область,Центральный район,Школа №2,ru,full,62.1,False
P00135,Арман,Маратов,M,Павлодарская область,Западный район,Школа №1,kk,full,41.2,False
P00136,Алтынай,Абилов,F,Улытауская область,Северный район,Школа №1,kk,single,72.2,True
P00137,Елена,Новикова,F,Абайская область,Центральный район,Школа №4,ru,full,43.3,False
P00138,Максим,Петров,M,Актюбинская область,Южный район,Школа №1,ru,full,50.2,False
P00139,Динара,Нурланов,F,г. Шымкент,Западный район,Школа №5,kk,full,67.2,True
P00140,Михаил,Кузнецов,M,Павлодарская область,Восточный район,Школа №4,ru,full,36.5,False
P00141,Алмат,Кадыров,M,Павлодарская область,Южный район,Школа №3,kk,single,52.4,False
P00142,Алина,Сериков,F,Актюбинская область,Восточный район,Школа №3,kk,single,68.6,True
P00143,Сауле,Тулегенов,F,Костанайская область,Заречный район,Школа №3,kk,single,24.9,False
P00144,Айдана,Жумабеков,F,г. Шымкент,Южный район,Школа №5,kk,full,57.8,False
P00145,Алмат,Кадыров,M,г. Алматы,Южный район,Школа №3,kk,full,58.9,False
P00146,София,Волкова,F,г. Алматы,Центральный район,Школа №3,ru,full,66.7,True
P00147,Иван,Попов,M,Абайская область,Северный район,Школа №5,ru,full,36.4,False
P00148,Александр,Петров,M,Улытауская область,Северный район,Школа №4,ru,full,35.2,False
P00149,Никита,Волков,M,Актюбинская область,Центральный район,Школа №5,ru,full,62.8,False
P00150,Нурлан,Абилов,M,г. Шымкент,Восточный район,Школа №2,kk,single,53.5,False
P00151,Данияр,Касенов,M,г. Астана,Восточный район,Школа №3,kk,full,58.8,False
P00152,Адильхан,Бекенов,M,Карагандинская область,Северный район,Школа №3,kk,full,60.2,False
P00153,Нурлан,Алиев,M,Атырауская область,Восточный район,Школа №2,kk,full,44.8,False
P00154,Анна,Лебедева,F,Акмолинская область, Восточный район ,Школа №1,ru,single,52.5,False
P00155,Малика,Жумабеков,F,Алматинская область, Восточный район ,Школа №3,kk,full,59.4,False
P00156,Жансая,Сериков,F,Павлодарская область,Сельский район,Школа №4,kk,full,44.3,False
P00157,Дария,Маратов,F,Костанайская область,Северный район,Школа №2,kk,full,83.0,True
P00158,Балжан,Кадыров,F,Кызылординская область,Заречный район,Школа №2,kk,full,62.1,False
P00159,Шынгыс,Алиев,M,Актюбинская область,Северный район,Школа №4,kk,full,37.1,False
P00160,Томирис,Касенов,F,г. Шымкент,Южный район,Школа №3,kk,full,64.8,False
P00161,Данияр,Жумабеков,M,г. Астана,Центральный район,Школа №1,kk,full,40.4,False
P00162,Данияр,Сериков,M,Актюбинская область,Западный район,Школа №4,kk,full,66.8,True
P00163,Анастасия,Новикова,F,г. Астана,Заречный район,Школа №5,ru,full,72.4,True
P00164,Алмат,Кадыров,M,Актюбинская область,Западный район,Школа №1,kk,full,42.7,False
P00165,Санжар,Сатпаев,M,Восточно-Казахстанская область,Южный район,Школа №3,kk,full,69.5,True
P00166,Анастасия,Попова,F,Актюбинская область,Южный район,Школа №4,ru,full,61.2,False
P00167,София,Смирнова,F,Костанайская область,Центральный район,Школа №2,ru,single,61.3,False
P00168,Кирилл,Смирнов,M,г. Шымкент,Заречный район,Школа №3,ru,full,83.5,True
P00169,Аружан,Касенов,F,Улытауская область,Центральный район,Школа №4,kk,full,51.3,False
P00170,Бауыржан,Кадыров,M,Туркестанская область,Северный район,Школа №2,kk,full,43.7,False
P00171,Михаил,Морозов,M,Улытауская область,Центральный район,Школа №5,ru,full,41.7,False
P00172,Шынгыс,Алиев,M,Северо-Казахстанская область,Центральный район,Школа №2,kk,single,36.8,False
P00173,Ольга,Кузнецова,F,г. Алматы,Северный район,Школа №4,ru,single,47.8,False
P00174,Никита,Новиков,M,Северо-Казахстанская область,Сельский район,Школа №4,ru,full,60.1,False
P00175,Бауыржан,Сатпаев,M,Атырауская область,Сельский район,Школа №4,kk,single,53.2,False
P00176,Сабина,Сериков,F,Карагандинская область,Центральный район,Школа №3,kk,full,67.4,True
P00177,Анна,Кузнецова,F,Северо-Казахстанская область,Южный район,Школа №4,ru,full,55.2,False
P00178,Алина,Кадыров,F,Жетысуская область,Центральный район,Школа №1,kk,single,70.8,True
P00179,Дарья,Иванова,F,Карагандинская область,Сельский район,Школа №2,ru,single,45.0,False
P00180,Алихан,Темирбеков,M,Западно-Казахстанская область,Северный район,Школа №5,kk,single,89.8,True
P00181,Дария,Бекенов,F,Карагандинская область,Центральный район,Школа №4,kk,full,64.4,False
P00182,Наргиз,Сатпаев,F,г. Алматы,Центральный район,Школа №5,kk,full,42.1,False
P00183,Шынгыс,Кадыров,M,Жетысуская область,Западный район,Школа №1,kk,full,38.9,False
P00184,Михаил,Морозов,M,Улытауская область, Западный район ,Школа №4,ru,full,62.2,False
P00185,Адильхан,Кадыров,M,Актюбинская область,Южный район,Школа №1,kk,single,45.6,False
P00186,Айдана,Кадыров,F,г. Алматы,Южный район,Школа №2,kk,single,59.7,False
P00187,Ольга,Смирнова,F,Атырауская область,Центральный район,Школа №4,ru,full,62.1,False
P00188,Александр,Попов,M,Карагандинская область,Западный район,Школа №5,ru,full,53.9,False
P00189,Данияр,Кадыров,M,Акмолинская область,Сельский район,Школа №3,kk,full,42.3,False
P00190,Максим,Лебедев,M,Костанайская область,Северный район,Школа №4,ru,full,32.3,False
P00191,Алина,Маратов,F,Павлодарская область,Центральный район,Школа №2,kk,full,48.3,False
P00192,Данияр,Жумабеков,M,Северо-Казахстанская область,Западный район,Школа №2,kk,full,67.8,True
P00193,Ержан,Сатпаев,M,Павлодарская область,Южный район,Школа №1,kk,full,58.2,False
P00194,Аяна,Темирбеков,F,Атырауская область,Сельский район,Школа №4,kk,full,36.3,False
P00195,Иван,Попов,M,Мангистауская область,Западный район,Школа №2,ru,full,57.6,False
P00196,Алина,Сатпаев,F,Атырауская область,Западный район,Школа №3,kk,full,60.8,False
P00197,Аян,Абилов,M,Улытауская область,Восточный район,Школа №1,kk,full,41.7,False
P00198,Шынгыс,Жумабеков,M,Туркестанская область,Северный район,Школа №1,kk,full,57.3,False
P00199,Алина,Касенов,F,Костанайская область,Заречный район,Школа №1,kk,full,55.9,False
P00200,Аян,Маратов,M,Восточно-Казахстанская область,Сельский район,Школа №2,kk,full,37.9,False
P00201,Рамазан,Темирбеков,M,Кызылординская область,Западный район,Школа №4,kk,single,54.4,False
P00202,Алина,Сериков,F,Карагандинская область,Восточный район,Школа №4,kk,full,63.4,False
P00203,Анна,Смирнова,F,Костанайская область,Заречный район,Школа №4,ru,full,71.2,True
P00204,Михаил,Волков,M,Восточно-Казахстанская область,Сельский район,Школа №4,ru,full,70.8,True
P00205,Полина,Смирнова,F,Карагандинская область,Северный район,Школа №2,ru,full,34.3,False
P00206,Анна,Соколова,F,Жамбылская область,Заречный район,Школа №3,ru,full,40.9,False
P00207,Санжар,Касенов,M,Восточно-Казахстанская область,Западный район,Школа №2,kk,full,62.7,False
P00208,Ксения,Волкова,F,Акмолинская область,Сельский район,Школа №1,ru,full,62.7,False
P00209,Балжан,Сатпаев,F,Павлодарская область,Западный район,Школа №4,kk,single,56.7,False
P00210,Дария,Абилов,F,Жетысуская область,Сельский район,Школа №4,kk,full,100.0,True
P00211,Олжас,Нурланов,M,Туркестанская область,Восточный район,Школа №5,kk,full,63.6,False
P00212,Жансая,Нурланов,F,Атырауская область,Сельский район,Школа №5,kk,full,72.0,True
P00213,Олжас,Бекенов,M,Атырауская область,Центральный район,Школа №4,kk,single,63.3,False
P00214,Артём,Попов,M,г. Астана,Заречный район,Школа №2,ru,full,64.8,False
P00215,Дария,Абилов,F,Абайская область,Центральный район,Школа №5,kk,full,50.3,False
P00216,Айдар,Темирбеков,M,Карагандинская область,Восточный район,Школа №4,kk,full,66.4,True
P00217,Арман,Жумабеков,M,Кызылординская область,Сельский район,Школа №1,kk,full,43.4,False
P00218,Сауле,Жумабеков,F,Актюбинская область,Восточный район,Школа №5,kk,full,51.4,False
P00219,Анна,Смирнова,F,Алматинская область,Восточный район,Школа №3,ru,full,47.7,False
P00220,Шынгыс,Тулегенов,M,Мангистауская область,Западный район,Школа №1,kk,full,56.2,False
P00221,Олжас,Алиев,M,г. Шымкент,Западный район,Школа №5,kk,full,89.7,True
P00222,Данияр,Сатпаев,M,Костанайская область,Западный район,Школа №5,kk,full,27.0,False
P00223,Айгерим,Кадыров,F,Костанайская область,Заречный район,Школа №4,kk,full,65.3,False
P00224,Анастасия,Волкова,F,Туркестанская область,Южный район,Школа №5,ru,full,30.8,False
P00225,Аяна,Тулегенов,F,г. Шымкент,Сельский район,Школа №2,kk,single,41.9,False
P00226,Алмат,Бекенов,M,Абайская область,Восточный район,Школа №2,kk,full,71.3,True
P00227,Шынгыс,Абилов,M,Акмолинская область,Заречный район,Школа №2,kk,full,56.0,False
P00228,Камила,Кадыров,F,Восточно-Казахстанская область,Восточный район,Школа №3,kk,full,38.8,False
P00229,Елена,Волкова,F,Туркестанская область,Северный район,Школа №3,ru,full,44.3,False
P00230,Дмитрий,Соколов,M,Жамбылская область,Заречный район,Школа №3,ru,full,65.2,False
P00231,Елена,Соколова,F,Алматинская область,Западный район,Школа №4,ru,single,38.0,False
P00232,Арман,Жумабеков,M,Акмолинская область,Южный район,Школа №1,kk,full,58.2,False
P00233,Рамазан,Бекенов,M,Жамбылская область,Сельский район,Школа №5,kk,full,55.7,False
P00234,Тимур,Бекенов,M,Жетысуская область,Центральный район,Школа №5,kk,full,45.2,False
P00235,Ерасыл,Маратов,M,Туркестанская область,Центральный район,Школа №2,kk,full,87.2,True
P00236,Мария,Новикова,F,Туркестанская область,Заречный район,Школа №3,ru,full,64.5,False
P00237,Анна,Волкова,F,Жетысуская область,Западный район,Школа №1,ru,single,18.6,False
P00238,Артём,Иванов,M,Мангистауская область,Сельский район,Школа №3,ru,single,51.8,False
P00239,Алмат,Кадыров,M,Карагандинская область,Восточный район,Школа №5,kk,full,45.1,False
P00240,Сабина,Абилов,F,Западно-Казахстанская область,Северный район,Школа №3,kk,full,67.8,True
P00241,Аян,Темирбеков,M,Костанайская область,Сельский район,Школа №2,kk,full,43.1,False
P00242,Мария,Морозова,F,Костанайская область,Центральный район,Школа №1,ru,full,53.3,False
P00243,Бекжан,Темирбеков,M,Западно-Казахстанская область,Восточный район,Школа №3,kk,single,56.6,False
P00244,Александр,Соколов,M,Кызылординская область,Заречный район,Школа №1,ru,full,68.0,True
P00245,Дмитрий,Петров,M,Карагандинская область,Южный район,Школа №2,ru,single,31.0,False
P00246,Шынгыс,Кадыров,M,Павлодарская область,Заречный район,Школа №4,kk,single,44.0,False
P00247,Екатерина,Волкова,F,Актюбинская область,Западный район,Школа №3,ru,full,47.9,False
P00248,Сауле,Тулегенов,F,Жамбылская область,Западный район,Школа №2,kk,full,45.2,False
P00249,Балжан,Маратов,F,г. Астана,Восточный район,Школа №5,kk,full,81.5,True
P00250,Нурлан,Абилов,M,г. Астана,Центральный район,Школа №3,kk,single,55.1,False
P00251,Владислав,Волков,M,Актюбинская область,Центральный район,Школа №1,ru,full,36.1,False
P00252,Максим,Иванов,M,Карагандинская область,Восточный район,Школа №2,ru,single,62.8,False
P00253,Малика,Кадыров,F,Мангистауская область,Восточный район,Школа №4,kk,full,86.8,True
P00254,Полина,Смирнова,F,Кызылординская область,Центральный район,Школа №5,ru,full,70.5,True
P00255,Александр,Иванов,M,Карагандинская область,Восточный район,Школа №5,ru,full,32.2,False
P00256,Олжас,Кадыров,M,Атырауская область,Южный район,Школа №1,kk,full,47.7,False
P00257,Айгерим,Бекенов,F,Жамбылская область,Центральный район,Школа №1,kk,full,74.0,True
P00258,Екатерина,Иванова,F,Мангистауская область,Восточный район,Школа №2,ru,single,38.4,False
P00259,Дария,Бекенов,F,г. Астана,Южный район,Школа №3,kk,full,61.7,False
P00260,Полина,Кузнецова,F,Павлодарская область,Южный район,Школа №5,ru,single,60.6,False
P00261,Мария,Морозова,F,Туркестанская область,Центральный район,Школа №4,ru,single,35.1,False
P00262,Арман,Жумабеков,M,Мангистауская область,Северный район,Школа №4,kk,full,54.1,False
P00263,Артём,Новиков,M,Акмолинская область,Западный район,Школа №4,ru,full,6.4,False
P00264,Бауыржан,Кадыров,M,Актюбинская область,Восточный район,Школа №1,kk,full,39.6,False
P00265,Камила,Касенов,F,г. Шымкент,Западный район,Школа №1,kk,full,51.2,False
P00266,Полина,Кузнецова,F,Туркестанская область,Северный район,Школа №3,ru,full,36.3,False
P00267,Балжан,Маратов,F,Алматинская область,Заречный район,Школа №4,kk,single,73.5,True
P00268,Мария,Кузнецова,F,г. Алматы,Южный район,Школа №4,ru,full,33.5,False
P00269,Жансая,Тулегенов,F,Туркестанская область,Восточный район,Школа №4,kk,single,42.4,False
P00270,Ерасыл,Нурланов,M,Акмолинская область,Западный район,Школа №2,kk,full,57.0,False
P00271,Малика,Жумабеков,F,Атырауская область,Северный район,Школа №4,kk,full,76.6,True
P00272,Ерасыл,Жумабеков,M,Туркестанская область,Заречный район,Школа №4,kk,full,33.5,False
P00273,Аружан,Маратов,F,г. Алматы,Восточный район,Школа №5,kk,single,66.4,True
P00274,Алина,Касенов,F,Акмолинская область, Сельский район ,Школа №2,kk,single,49.2,False
P00275,Александр,Кузнецов,M,Улытауская область,Восточный район,Школа №5,ru,full,40.3,False
P00276,Ольга,Иванова,F,Абайская область,Западный район,Школа №1,ru,full,61.9,False
P00277,Дария,Темирбеков,F,Улытауская область,Сельский район,Школа №4,kk,single,52.0,False
P00278,Алтынай,Тулегенов,F,Атырауская область,Северный район,Школа №5,kk,full,46.0,False
P00279,Андрей,Попов,M,Мангистауская область,Восточный район,Школа №2,ru,full,56.0,False
P00280,Айдана,Сериков,F,Мангистауская область,Восточный район,Школа №4,kk,full,49.2,False
P00281,Рамазан,Нурланов,M,Костанайская область,Западный район,Школа №1,kk,single,50.7,False
P00282,Томирис,Абилов,F,Западно-Казахстанская область,Центральный район,Школа №3,kk,single,58.9,False
P00283,Динара,Темирбеков,F,Жамбылская область,Западный район,Школа №4,kk,single,72.8,True
P00284,Тимур,Нурланов,M,г. Алматы,Южный район,Школа №2,kk,single,30.4,False
P00285,Жансая,Темирбеков,F,Алматинская область,Восточный район,Школа №1,kk,full,87.0,True
P00286,Мария,Попова,F,Абайская область,Заречный район,Школа №4,ru,full,25.7,False
P00287,Кирилл,Смирнов,M,г. Астана,Заречный район,Школа №5,ru,full,52.7,False
P00288,Дамир,Алиев,M,Мангистауская область,Заречный район,Школа №2,kk,single,57.8,False
P00289,Адильхан,Жумабеков,M,Северо-Казахстанская область,Южный район,Школа №1,kk,full,59.2,False
P00290,Темирлан,Тулегенов,M,Павлодарская область, Центральный район ,Школа №3,kk,full,45.7,False
P00291,Мария,Иванова,F,Карагандинская область,Восточный район,Школа №1,ru,single,45.9,False
P00292,Екатерина,Волкова,F,Улытауская область,Северный район,Школа №2,ru,full,47.6,False
P00293,Алихан,Алиев,M,Павлодарская область,Южный район,Школа №4,kk,single,40.2,False
