participant_id,first_name,last_name,gender,age,grade,region,district,school,language,family_type,round_1_score,passed_round_1,round_2_score,status
P01747,Алихан,Маратов,M,16,10,г. Шымкент,Западный район,Школа №4,kk,full,69.6,True,53.5,finalist
P01762,Жаныбек,Темирбеков,M,12,6,г. Шымкент,Северный район,Школа №1,kk,full,66.1,True,62.7,finalist
P02069,Алтынай,Сериков,F,16,9,г. Шымкент,Восточный район,Школа №5,kk,full,76.3,True,84.3,finalist
P02128,Елена,Кузнецова,F,12,6,г. Шымкент,Северный район,Школа №2,ru,full,71.7,True,72.5,finalist
P02159,Максим,Волков,M,15,10,г. Шымкент,Западный район,Школа №3,ru,single,68.2,True,54.7,finalist
P02227,Адильхан,Бекенов,M,13,6,г. Шымкент,Сельский район,Школа №2,kk,full,76.3,True,64.3,finalist
P02230,Малика,Маратов,F,13,7,г. Шымкент,Северный район,Школа №2,kk,full,70.1,True,72.9,finalist
P02595,Балжан,Бекенов,F,14,8,г. Шымкент,Восточный район,Школа №4,kk,full,67.7,True,82.4,finalist
P02635,Алина,Жумабеков,F,11,5,г. Шымкент,Восточный район,Школа №3,kk,single,74.5,True,87.2,finalist
P02636,Екатерина,Иванова,F,14,9,г. Шымкент,Западный район,Школа №1,ru,full,71.1,True,60.0,finalist
P02751,Гульнара,Кадыров,F,11,5,г. Шымкент,Восточный район,Школа №4,kk,full,81.3,True,65.3,finalist
P03277,Гульнара,Абилов,F,12,5,г. Шымкент,Сельский район,Школа №5,kk,full,72.6,True,94.5,finalist
P03464,Ольга,Морозова,F,11,5,г. Шымкент,Южный район,Школа №4,ru,full,70.4,True,51.7,finalist
P03497,Александр,Петров,M,16,10,г. Шымкент,Западный район,Школа №1,ru,full,67.2,True,71.4,finalist
P03543,Бекжан,Касенов,M,15,9,г. Шымкент,Южный район,Школа №4,kk,full,68.2,True,56.8,finalist
P03616,Томирис,Сатпаев,F,15,9,г. Шымкент,Центральный район,Школа №2,kk,full,66.0,True,53.3,finalist
P03634,Ксения,Морозова,F,13,6,г. Шымкент,Северный район,Школа №1,ru,full,66.2,True,78.8,finalist
P03768,Алтынай,Нурланов,F,15,10,г. Шымкент,Сельский район,Школа №5,kk,full,74.6,True,67.2,finalist
P03877,Дана,Жумабеков,F,14,7,г. Шымкент,Восточный район,Школа №4,kk,full,69.3,True,61.7,finalist
P03994,Томирис,Кадыров,F,16,10,г. Шымкент,Северный район,Школа №2,kk,full,66.3,True,43.2,finalist
P04270,Полина,Попова,F,12,6,г. Шымкент,Сельский район,Школа №4,ru,full,68.9,True,59.8,finalist
P04526,Михаил,Волков,M,15,9,г. Шымкент,Заречный район,Школа №1,ru,full,72.2,True,55.2,finalist
P04656,Камила,Абилов,F,14,8,г. Шымкент,Западный район,Школа №2,kk,full,87.3,True,80.7,finalist
P04693,Иван,Иванов,M,11,6,г. Шымкент,Сельский район,Школа №3,ru,full,69.3,True,95.4,finalist
P04829,Александр,Смирнов,M,16,10,г. Шымкент,Восточный район,Школа №3,ru,full,68.9,True,71.3,finalist
P04845,Жансая,Тулегенов,F,13,7,г. Шымкент,Северный район,Школа №5,kk,full,72.5,True,59.8,finalist
P04920,Олжас,Кадыров,M,13,7,г. Шымкент,Восточный район,Школа №4,kk,single,68.4,True,66.1,finalist
P04933,Жаныбек,Касенов,M,12,7,г. Шымкент,Заречный район,Школа №4,kk,full,78.0,True,72.9,finalist
P04971,Елена,Попова,F,18,11,г. Шымкент,Восточный район,Школа №5,ru,full,77.9,True,54.0,finalist
